"","item_name","rep_name","item_scale","rep_in","cos","item_cat","rep_cat","bc_overlap","items","rep_by"
"102","N6 - Lack of spontaneity and flow of conversation","SS19 - Poverty of Speech","PANSS","SANS_SAPS",0.6944555,"Negative symptoms","Negative symptoms",1,"N6","SS19"
"103","N7 - Stereotyped thinking","A3 - Disorganized thinking","PANSS","DSM-5",0.4707795,"Negative symptoms","Disorganized thinking",0,"N7","A3"
"104","N7 - Stereotyped thinking","C - Disorganized thinking","PANSS","ICD-11",0.54217607,"Negative symptoms","Disorganized thinking",0,"N7","C"
"105","N7 - Stereotyped thinking","SS52 - Thought Broadcasting","PANSS","SANS_SAPS",0.53968966,"Negative symptoms","Delusions",0,"N7","SS52"
"106","P1 - Delusions","A - Delusions","PANSS","ICD-11",0.7797112,"Delusions","Delusions",1,"P1","A"
"107","P1 - Delusions","A1 - Delusions","PANSS","DSM-5",0.85109174,"Delusions","Delusions",1,"P1","A1"
"108","P1 - Delusions","SS55 - Global Rating of Severity of Delusions","PANSS","SANS_SAPS",0.80487776,"Delusions","Delusions",1,"P1","SS55"
"109","P2 - Conceptual disorganisation","A3 - Disorganized thinking","PANSS","DSM-5",0.64897346,"Disorganized thinking","Disorganized thinking",1,"P2","A3"
"110","P2 - Conceptual disorganisation","C - Disorganized thinking","PANSS","ICD-11",0.76264054,"Disorganized thinking","Disorganized thinking",1,"P2","C"
"111","P2 - Conceptual disorganisation","SS63 - Incoherence","PANSS","SANS_SAPS",0.5721621,"Disorganized thinking","Disorganized thinking",1,"P2","SS63"
"112","P3 - Hallucinatory behaviour","A2 - Hallucinations","PANSS","DSM-5",0.78558356,"Hallucinations","Hallucinations",1,"P3","A2"
"113","P3 - Hallucinatory behaviour","B - Hallucinations","PANSS","ICD-11",0.73774195,"Hallucinations","Hallucinations",1,"P3","B"
"114","P3 - Hallucinatory behaviour","SS42 - Global Rating of Severity of Hallucinations","PANSS","SANS_SAPS",0.82527065,"Hallucinations","Hallucinations",1,"P3","SS42"
"115","P4 - Excitement","A4 - Grossly disorganized or catatoic behaviour","PANSS","DSM-5",0.49893466,"Grossly disorganized or catatonic behaviour","Grossly disorganized or catatonic behaviour",1,"P4","A4"
"116","P4 - Excitement","G - Psychomotor disturbances","PANSS","ICD-11",0.59922993,"Grossly disorganized or catatonic behaviour","Grossly disorganized or catatonic behaviour",1,"P4","G"
"117","P4 - Excitement","SS66 - Pressure of Speech","PANSS","SANS_SAPS",0.6029935,"Grossly disorganized or catatonic behaviour","Disorganized thinking",1,"P4","SS66"
"118","P5 - Grandiosity","A - Delusions","PANSS","ICD-11",0.6159343,"Delusions","Delusions",1,"P5","A"
"119","P5 - Grandiosity","A1 - Delusions","PANSS","DSM-5",0.6238892,"Delusions","Delusions",1,"P5","A1"
"120","P5 - Grandiosity","SS46 - Grandiose Delusions","PANSS","SANS_SAPS",0.74144226,"Delusions","Delusions",1,"P5","SS46"
"121","P6 - Suspiciousness/persecution","A - Delusions","PANSS","ICD-11",0.6339835,"Delusions","Delusions",1,"P6","A"
"122","P6 - Suspiciousness/persecution","A1 - Delusions","PANSS","DSM-5",0.673097,"Delusions","Delusions",1,"P6","A1"
"123","P6 - Suspiciousness/persecution","SS43 - Persecutory Delusions","PANSS","SANS_SAPS",0.78048825,"Delusions","Delusions",1,"P6","SS43"
"124","P7 - Hostility","G - Psychomotor disturbances","PANSS","ICD-11",0.5639443,"Grossly disorganized or catatonic behaviour","Grossly disorganized or catatonic behaviour",1,"P7","G"
"125","P7 - Hostility","SS58 - Aggressive and Agitated Behavior","PANSS","SANS_SAPS",0.66272527,"Grossly disorganized or catatonic behaviour","Grossly disorganized or catatonic behaviour",1,"P7","SS58"
"126","P7 - Hostility",NA,"PANSS","DSM-5",0,"Grossly disorganized or catatonic behaviour",NA,NA,"P7",NA
"127","SS11 - Unchanging Facial Expression","N1 - Blunted affect","SANS_SAPS","PANSS",0.69155115,"Negative symptoms","Negative symptoms",1,"SS11","N1"
"128","SS11 - Unchanging Facial Expression",NA,"SANS_SAPS","DSM-5",0,"Negative symptoms",NA,NA,"SS11",NA
"129","SS11 - Unchanging Facial Expression",NA,"SANS_SAPS","ICD-11",0,"Negative symptoms",NA,NA,"SS11",NA
"130","SS12 - Decreased Spontaneous Movements","A4 - Grossly disorganized or catatoic behaviour","SANS_SAPS","DSM-5",0.43620282,"Negative symptoms","Grossly disorganized or catatonic behaviour",0,"SS12","A4"
"131","SS12 - Decreased Spontaneous Movements","G - Psychomotor disturbances","SANS_SAPS","ICD-11",0.5041861,"Negative symptoms","Grossly disorganized or catatonic behaviour",0,"SS12","G"
"132","SS12 - Decreased Spontaneous Movements","P4 - Excitement","SANS_SAPS","PANSS",0.57863677,"Negative symptoms","Grossly disorganized or catatonic behaviour",0,"SS12","P4"
"133","SS13 - Paucity of Expressive Gestures","G5 - Mannerisms and posturing","SANS_SAPS","PANSS",0.4371697,"Negative symptoms","Grossly disorganized or catatonic behaviour",0,"SS13","G5"
"134","SS13 - Paucity of Expressive Gestures",NA,"SANS_SAPS","DSM-5",0,"Negative symptoms",NA,NA,"SS13",NA
"135","SS13 - Paucity of Expressive Gestures",NA,"SANS_SAPS","ICD-11",0,"Negative symptoms",NA,NA,"SS13",NA
"136","SS14 - Poor Eye Contact","N3 - Poor rapport","SANS_SAPS","PANSS",0.68851554,"Negative symptoms","Negative symptoms",1,"SS14","N3"
"137","SS14 - Poor Eye Contact",NA,"SANS_SAPS","DSM-5",0,"Negative symptoms",NA,NA,"SS14",NA
"138","SS14 - Poor Eye Contact",NA,"SANS_SAPS","ICD-11",0,"Negative symptoms",NA,NA,"SS14",NA
"139","SS15 - Affective Nonresponsivity","A5 - Negative symptoms","SANS_SAPS","DSM-5",0.44976327,"Negative symptoms","Negative symptoms",1,"SS15","A5"
"140","SS15 - Affective Nonresponsivity","G - Psychomotor disturbances","SANS_SAPS","ICD-11",0.49148268,"Negative symptoms","Grossly disorganized or catatonic behaviour",0,"SS15","G"
"141","SS15 - Affective Nonresponsivity","N1 - Blunted affect","SANS_SAPS","PANSS",0.5556827,"Negative symptoms","Negative symptoms",1,"SS15","N1"
"142","SS16 - Lack of Vocal Inflections","A3 - Disorganized thinking","SANS_SAPS","DSM-5",0.4322107,"Negative symptoms","Disorganized thinking",0,"SS16","A3"
"143","SS16 - Lack of Vocal Inflections","N6 - Lack of spontaneity and flow of conversation","SANS_SAPS","PANSS",0.6205861,"Negative symptoms","Negative symptoms",0,"SS16","N6"
"144","SS16 - Lack of Vocal Inflections",NA,"SANS_SAPS","ICD-11",0,"Negative symptoms",NA,NA,"SS16",NA
"145","SS17 - Global Rating of Affective Flattening","F - Grossly disorganized behaviour","SANS_SAPS","ICD-11",0.44761425,"Negative symptoms","Grossly disorganized or catatonic behaviour",0,"SS17","F"
"146","SS17 - Global Rating of Affective Flattening","N1 - Blunted affect","SANS_SAPS","PANSS",0.64037204,"Negative symptoms","Negative symptoms",1,"SS17","N1"
"147","SS17 - Global Rating of Affective Flattening",NA,"SANS_SAPS","DSM-5",0,"Negative symptoms",NA,NA,"SS17",NA
"148","SS18 - Inappropriate Affect","A5 - Negative symptoms","SANS_SAPS","DSM-5",0.46581066,"Grossly disorganized or catatonic behaviour","Negative symptoms",0,"SS18","A5"
"149","SS18 - Inappropriate Affect","F - Grossly disorganized behaviour","SANS_SAPS","ICD-11",0.6100301,"Grossly disorganized or catatonic behaviour","Grossly disorganized or catatonic behaviour",1,"SS18","F"
"150","SS18 - Inappropriate Affect","N1 - Blunted affect","SANS_SAPS","PANSS",0.7352466,"Grossly disorganized or catatonic behaviour","Negative symptoms",1,"SS18","N1"
"151","SS19 - Poverty of Speech","A3 - Disorganized thinking","SANS_SAPS","DSM-5",0.49089533,"Negative symptoms","Disorganized thinking",0,"SS19","A3"
"152","SS19 - Poverty of Speech","N6 - Lack of spontaneity and flow of conversation","SANS_SAPS","PANSS",0.6944555,"Negative symptoms","Negative symptoms",1,"SS19","N6"
"153","SS19 - Poverty of Speech",NA,"SANS_SAPS","ICD-11",0,"Negative symptoms",NA,NA,"SS19",NA
"154","SS20 - Poverty of Content of Speech","A3 - Disorganized thinking","SANS_SAPS","DSM-5",0.46649876,"Negative symptoms","Disorganized thinking",0,"SS20","A3"
"155","SS20 - Poverty of Content of Speech","C - Disorganized thinking","SANS_SAPS","ICD-11",0.43378246,"Negative symptoms","Disorganized thinking",0,"SS20","C"
"156","SS20 - Poverty of Content of Speech","N6 - Lack of spontaneity and flow of conversation","SANS_SAPS","PANSS",0.64635,"Negative symptoms","Negative symptoms",0,"SS20","N6"
"157","SS21 - Blocking","N6 - Lack of spontaneity and flow of conversation","SANS_SAPS","PANSS",0.52408063,"Negative symptoms","Negative symptoms",0,"SS21","N6"
"158","SS21 - Blocking",NA,"SANS_SAPS","DSM-5",0,"Negative symptoms",NA,NA,"SS21",NA
"159","SS21 - Blocking",NA,"SANS_SAPS","ICD-11",0,"Negative symptoms",NA,NA,"SS21",NA
"160","SS22 - Increased Latency of Response","N6 - Lack of spontaneity and flow of conversation","SANS_SAPS","PANSS",0.5678234,"Negative symptoms","Negative symptoms",0,"SS22","N6"
"161","SS22 - Increased Latency of Response",NA,"SANS_SAPS","ICD-11",0,"Negative symptoms",NA,NA,"SS22",NA
"162","SS22 - Increased Latency of Response",NA,"SANS_SAPS","DSM-5",0,"Negative symptoms",NA,NA,"SS22",NA
"163","SS23 - Global Rating of Alogia","A3 - Disorganized thinking","SANS_SAPS","DSM-5",0.6576254,"Negative symptoms","Disorganized thinking",0,"SS23","A3"
"164","SS23 - Global Rating of Alogia","C - Disorganized thinking","SANS_SAPS","ICD-11",0.643992,"Negative symptoms","Disorganized thinking",0,"SS23","C"
"165","SS23 - Global Rating of Alogia","G12 - Lack of judgement and insight","SANS_SAPS","PANSS",0.5118295,"Negative symptoms","not in nosologies",0,"SS23","G12"
"166","SS24 - Grooming and Hygiene","F - Grossly disorganized behaviour","SANS_SAPS","ICD-11",0.4372912,"Negative symptoms","Grossly disorganized or catatonic behaviour",0,"SS24","F"
"167","SS24 - Grooming and Hygiene","G5 - Mannerisms and posturing","SANS_SAPS","PANSS",0.44259506,"Negative symptoms","Grossly disorganized or catatonic behaviour",0,"SS24","G5"
"168","SS24 - Grooming and Hygiene",NA,"SANS_SAPS","DSM-5",0,"Negative symptoms",NA,NA,"SS24",NA
"169","SS25 - Impersistence at Work or School","G8 - Uncooperativeness","SANS_SAPS","PANSS",0.50244457,"Negative symptoms","Grossly disorganized or catatonic behaviour",0,"SS25","G8"
"170","SS25 - Impersistence at Work or School",NA,"SANS_SAPS","DSM-5",0,"Negative symptoms",NA,NA,"SS25",NA
"171","SS25 - Impersistence at Work or School",NA,"SANS_SAPS","ICD-11",0,"Negative symptoms",NA,NA,"SS25",NA
"172","SS26 - Physical Anergia","A5 - Negative symptoms","SANS_SAPS","DSM-5",0.46189034,"Negative symptoms","Negative symptoms",1,"SS26","A5"
"173","SS26 - Physical Anergia","G - Psychomotor disturbances","SANS_SAPS","ICD-11",0.5167297,"Negative symptoms","Grossly disorganized or catatonic behaviour",0,"SS26","G"
"174","SS26 - Physical Anergia","P4 - Excitement","SANS_SAPS","PANSS",0.5722147,"Negative symptoms","Grossly disorganized or catatonic behaviour",0,"SS26","P4"
"175","SS27 - Global Rating of Avolition/Apathy","A5 - Negative symptoms","SANS_SAPS","DSM-5",0.7179503,"Negative symptoms","Negative symptoms",1,"SS27","A5"
"176","SS27 - Global Rating of Avolition/Apathy","E - Negative symptoms","SANS_SAPS","ICD-11",0.6533037,"Negative symptoms","Negative symptoms",1,"SS27","E"
"177","SS27 - Global Rating of Avolition/Apathy","G12 - Lack of judgement and insight","SANS_SAPS","PANSS",0.52761835,"Negative symptoms","not in nosologies",0,"SS27","G12"
"178","SS28 - Recreational Interests and Activities","A5 - Negative symptoms","SANS_SAPS","DSM-5",0.42844278,"Negative symptoms","Negative symptoms",1,"SS28","A5"
"179","SS28 - Recreational Interests and Activities","G - Psychomotor disturbances","SANS_SAPS","ICD-11",0.43259704,"Negative symptoms","Grossly disorganized or catatonic behaviour",0,"SS28","G"
